Genus_&_Specie,Time,Location,Zone,Current_Country,Habitat,Cranial_Capacity,Height,Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton
Homo Rodhesiensis,1.19261188,Africa,oriental,Ethiopia,savannah,1095.18859,150.36053,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Floresiensis,0.76521866,Asia ,oriental,Indonesia,peninsular,371.11702,100.9488,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Bahrelghazali,4.04006209,Africa,central,Republic of Chad,mixed,158.23173,113.6911,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Homo Rodhesiensis,0.7009048,Africa,oriental,Ethiopia,savannah,1039.03578,154.29979,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
hominino Orrorin tugenencin,6.37887513,Africa,oriental,Kenya,forest,10.64433,120.80024,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Georgicus,2.20755851,Asia ,west,Georgia,savannah,832.54562,147.21322,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Anamensis,4.16273592,Africa,oriental,Kenya,forest-gallery,363.96114,122.71119,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Paranthropus Aethiopicus,2.8640611,Africa,oriental,Kenya,forest-savanna,330.44636,105.59037,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Africanus,4.02861221,Africa,south,South Africa,forest-gallery,689.31314,112.55046,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Georgicus,2.35384014,Asia ,west,Georgia,savannah,614.96829,142.54726,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Aethiopicus,2.99494525,Africa,oriental,Kenya,forest-savanna,311.2613,108.33216,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Heidelbergensis,0.32064481,Europa,central,Germany,cold forest,1305.92082,177.24477,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
"Homo Neanderthalensis
",0.08648727,Europa,central,Germany,cold forest,1163.94696,154.67812,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Orrorin tugenencin,6.1854271,Africa,oriental,Kenya,forest,85.00468,112.59792,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Antecesor,1.64423993,Europa,west,Spain,savannah,1125.92923,160.81236,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Australopithecus Afarensis,4.04876276,Africa,oriental,Kenya,mixed,269.03401,136.80741,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Rodhesiensis,0.51502175,Africa,oriental,Ethiopia,savannah,1136.15198,155.08317,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Heidelbergensis,1.05078284,Europa,central,Germany,cold forest,1166.1066,172.85894,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Georgicus,2.38804339,Asia ,west,Georgia,savannah,627.67886,147.0894,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Sediba,1.77854618,Africa,south,South Africa,mixed,429.5438,104.32257,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Australopithecus Afarensis,4.25455101,Africa,oriental,Kenya,mixed,263.20508,138.96787,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Australopithecus Anamensis,4.15984002,Africa,oriental,Kenya,forest-gallery,394.19721,114.25467,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Australopithecus Africanus,3.221104,Africa,south,South Africa,forest-gallery,641.83792,111.37183,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Australopithecus Africanus,3.85221653,Africa,south,South Africa,forest-gallery,579.18904,103.85295,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
hominino Sahelanthropus tchadensis,7.03150173,Africa,central,Republic of Chad,mixed,150.82907,82.6732,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
"Homo Neanderthalensis
",0.41832722,Europa,central,Germany,cold forest,1013.94123,168.25769,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Heidelbergensis,1.19282255,Europa,central,Germany,cold forest,1409.16441,180.21643,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Anamensis,3.97663867,Africa,oriental,Kenya,forest-gallery,382.51417,128.94617,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
"Homo Neanderthalensis
",0.20409924,Europa,central,Germany,cold forest,1110.72212,164.841,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Antecesor,1.19264196,Europa,west,Spain,savannah,956.64033,178.42843,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Homo Georgicus,2.20732518,Asia ,west,Georgia,savannah,675.24254,143.0213,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Boisei,2.71765232,Africa,oriental,Ethiopia,forest,644.56941,118.82743,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Afarensis,3.73370968,Africa,oriental,Kenya,mixed,419.40475,130.41699,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
hominino Sahelanthropus tchadensis,6.75344102,Africa,central,Republic of Chad,mixed,25.55395,88.7874,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
hominino Sahelanthropus tchadensis,6.89447437,Africa,central,Republic of Chad,mixed,225.79338,99.83859,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
hominino Ardipithecus ramidus / kabadda,4.46652009,Africa,oriental,Ethiopia,mixed,215.79347,104.45697,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Sapiens,0.1947434,Africa,oriental,Kenya,savannah,1111.91849,175.53093,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Georgicus,1.92635379,Asia ,west,Georgia,savannah,859.5464,153.85446,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Heidelbergensis,0.93787004,Europa,central,Germany,cold forest,1151.079,184.81726,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Georgicus,2.38045614,Asia ,west,Georgia,savannah,574.27833,141.64171,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Bahrelghazali,3.92781418,Africa,central,Republic of Chad,mixed,163.14612,115.97401,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Australopithecus Afarensis,4.12497495,Africa,oriental,Kenya,mixed,482.10859,125.24382,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
hominino Ardipithecus ramidus / kabadda,3.80064932,Africa,oriental,Ethiopia,mixed,265.0002,113.98667,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Australopithecus Garhi,3.0904844,Africa,oriental,Ethiopia,mixed,278.15526,119.81569,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Sapiens,0.47202461,Africa,oriental,Kenya,savannah,1301.3956,172.88767,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Antecesor,1.32719796,Europa,west,Spain,savannah,1124.57379,166.04313,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Homo Rudolfensis,2.97627449,Africa,oriental,Kenya,savannah,576.60409,128.76747,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Australopithecus Afarensis,4.11393561,Africa,oriental,Kenya,mixed,305.05025,122.88024,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Georgicus,2.06884292,Asia ,west,Georgia,savannah,609.37627,159.57611,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
hominino Orrorin tugenencin,6.16168019,Africa,oriental,Kenya,forest,212.70155,125.11899,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Naledi,0.28879393,Africa,south,South Africa,jungle,336.96134,139.86736,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Paranthropus Aethiopicus,2.35779106,Africa,oriental,Kenya,forest-savanna,552.861,118.93559,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Bahrelghazali,3.61141631,Africa,central,Republic of Chad,mixed,290.50609,110.2628,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Paranthropus Robustus,1.88647564,Africa,south,South Africa,jungle,441.20416,120.92886,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Naledi,0.36819313,Africa,south,South Africa,jungle,409.39322,138.85456,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Paranthropus Aethiopicus,2.60045885,Africa,oriental,Kenya,forest-savanna,471.71215,104.05934,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Bahrelghazali,4.17120733,Africa,central,Republic of Chad,mixed,326.22044,113.15961,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Australopithecus Afarensis,4.56865488,Africa,oriental,Kenya,mixed,467.08481,129.00107,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Australopithecus Afarensis,3.81382111,Africa,oriental,Kenya,mixed,388.76518,136.94538,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Rudolfensis,2.4018861,Africa,oriental,Kenya,savannah,563.64827,121.26482,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Heidelbergensis,0.51971701,Europa,central,Germany,cold forest,1363.97545,176.85327,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Naledi,0.66809431,Africa,south,South Africa,jungle,461.99862,138.04328,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Afarensis,3.8622502,Africa,oriental,Kenya,mixed,308.98407,120.8171,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Floresiensis,0.72809415,Asia ,oriental,Indonesia,peninsular,305.62039,93.55395,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Anamensis,4.88905692,Africa,oriental,Kenya,forest-gallery,437.62889,112.03044,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
hominino Orrorin tugenencin,6.68514372,Africa,oriental,Kenya,forest,67.97951,119.374,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
hominino Ardipithecus ramidus / kabadda,4.00299989,Africa,oriental,Ethiopia,mixed,287.07813,117.33305,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Heidelbergensis,0.58003916,Europa,central,Germany,cold forest,1339.83538,184.42899,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Naledi,0.05793392,Africa,south,South Africa,jungle,498.40987,125.83319,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
